Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id
1,Unpolarized capacitor,C,C4C5,100nF,SMD-0603,2,~,5c70984812875079b91f8bf2
2,Unpolarized capacitor,C,C1,1uF,SMD-0603,1,~,5c70984812875079b91f8bc2
3,Unpolarized capacitor,C,C3,10uF,SMD-0805,1,~,5c70984812875079b91f8bbd
4,,D_ZENER,D1,BZX585-B5V6.115,D_SOD-523,1,,60879d38128750769ee58e48
5,Light emitting diode,LED,D2,LED GREEN,LED_1206_mill,1,~,5c70984412875079b91f8895
6,,SM04B-GHS-TB,J1J2,SM04B-GHS-TB,JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal,2,,5c86273d1287500b4e0280be
7,,HOLE,M1M2M3M4M5M6,M3,dira_3mm,6,,
8,Resistor,R,R1,180R,SMD-0603,1,~,5c70984512875079b91f8957
9,Resistor,R,R3R10,10k,SMD-0603,2,~,5c70984512875079b91f8962
10,"300mA Low-dropout Voltage Regulator, Vout 3.3V, Vin up to 5.5V, SOT-23",MIC5504-3.3YM5,U3,MIC5504-3.3YM5,SOT-23-5,1,http://ww1.microchip.com/downloads/en/DeviceDoc/MIC550X.pdf,5c7255e81287500b4e112ea2
11,"Photoacoustic CO2 sensor, 40 000 ppm, I2C, 2.4-5.5 V, High accuracy  400 - 5000 ppm",SCD41-D-R2,U2,SCD41-D-R2,Sensirion_SCD4x-1EP_10.1x10.1mm_P1.25mm_EP4.8x4.8mm,1,https://sensirion.com/media/documents/E0F04247/631EF271/CD_DS_SCD40_SCD41_Datasheet_D1.pdf,
